,name,url
0,Alaíde Braga de Oliveira,http://www.abc.org.br/membro/alaide-braga-de-oliveira/
1,Aldina Maria Prado Barral,http://www.abc.org.br/membro/aldina-maria-prado-barral/
2,Alicia Juliana Kowaltowski,http://www.abc.org.br/membro/alicia-juliana-kowaltowski-2/
3,Ana Claudia Latronico,http://www.abc.org.br/membro/ana-claudia-latronico/
4,Ana Maria Giulietti Harley,http://www.abc.org.br/membro/ana-maria-giulietti-harley/
5,Angela de Luca Rebello Wagener,http://www.abc.org.br/membro/angela-de-luca-rebello-wagener/
6,Angela Maria Vianna Morgante,http://www.abc.org.br/membro/angela-maria-vianna-morgante/
7,Angela Terezinha de Souza Wyse,http://www.abc.org.br/membro/angela-terezinha-de-souza-wyse/
8,Anita Dolly Panek,http://www.abc.org.br/membro/anita-dolly-panek/
9,Anita Jocelyne Marsaioli,http://www.abc.org.br/membro/anita-jocelyne-marsaioli/
10,Antoniana Ursine Krettli,http://www.abc.org.br/membro/antoniana-ursine-krettli/
11,Beatriz Leonor Silveira Barbuy,http://www.abc.org.br/membro/beatriz-leonor-silveira-barbuy/
12,Belita Koiller,http://www.abc.org.br/membro/belita-koiller/
13,Berenice Bilharinho de Mendonça,http://www.abc.org.br/membro/berenice-bilharinho-de-mendonca/
14,Bianca Silvana Zingales,http://www.abc.org.br/membro/bianca-silvana-zingales/
15,Carol Hollingworth Collins,http://www.abc.org.br/membro/carol-hollingworth-collins/
16,Catarina Satie Takahashi,http://www.abc.org.br/membro/catarina-satie-takahashi/
17,Célia Regina da Silva Garcia,http://www.abc.org.br/membro/celia-regina-da-silva-garcia/
18,Célia Regina Ribeiro da Silva Carlini,http://www.abc.org.br/membro/celia-regina-ribeiro-da-silva-carlini/
19,Celina Maria Turchi Martelli,http://www.abc.org.br/membro/celina-maria-turchi-martelli/
20,Cláudia Lúcia Mendes de Oliveira,http://www.abc.org.br/membro/claudia-lucia-mendes-de-oliveira/
21,Claudia Maria Bauzer Medeiros,http://www.abc.org.br/membro/claudia-maria-bauzer-medeiros/
22,Concepta Margaret McManus Pimentel,http://www.abc.org.br/membro/concepta-margaret-mcmanus-pimentel/
23,Débora Foguel,http://www.abc.org.br/membro/debora-foguel/
24,Dilce de Fátima Rossetti,http://www.abc.org.br/membro/dilce-de-fatima-rossetti/
25,Dora Selma Fix Ventura,http://www.abc.org.br/membro/dora-selma-fix-ventura/
26,Dulciene Maria de Magalhães Queiroz,http://www.abc.org.br/membro/dulciene-maria-de-magalhaes-queiroz/
27,Eliete Bouskela,http://www.abc.org.br/membro/eliete-bouskela/
28,Elisa Maria da Conceição Pereira Reis,http://www.abc.org.br/membro/elisa-maria-da-conceicao-pereira-reis/
29,Elizabeth Pacheco Batista Fontes,http://www.abc.org.br/membro/elizabeth-pacheco-batista-fontes/
30,Eloisa Biasotto Mano,http://www.abc.org.br/membro/eloisa-biasotto-mano/
31,Elza Salvatori Berquó,http://www.abc.org.br/membro/elza-salvatori-berquo/
32,Helena Bonciani Nader,http://www.abc.org.br/membro/helena-bonciani-nader/
33,Helena Judith Nussenzveig Lopes,http://www.abc.org.br/membro/helena-judith-nussenzveig-lopes/
34,Heloisa de Oliveira Beraldo,http://www.abc.org.br/membro/heloisa-de-oliveira-beraldo/
35,Iscia Teresinha Lopes Cendes,http://www.abc.org.br/membro/iscia-teresinha-lopes-cendes-2/
36,Keti Tenenblat,http://www.abc.org.br/membro/keti-tenenblat/
37,Laura de Mello e Souza,http://www.abc.org.br/membro/laura-de-mello-e-souza/
38,Leny Alves Cavalcante,http://www.abc.org.br/membro/leny-alves-cavalcante/
39,Lourdes Sola,http://www.abc.org.br/membro/lourdes-sola/
40,Lucia Mendonça Previato,http://www.abc.org.br/membro/lucia-mendonca-previato/
41,Luisa Lina Villa,http://www.abc.org.br/membro/luisa-lina-villa/
42,Mara Helena Hutz,http://www.abc.org.br/membro/mara-helena-hutz/
43,Marcia Cristina Bernardes Barbosa,http://www.abc.org.br/membro/marcia-barbosa/
44,Márcia Maria Auxiliadora Naschenveng Pinheiro Margis,http://www.abc.org.br/membro/marcia-maria-auxiliadora-naschenveng-pinheiro-margis/
45,Marcia Walquiria de Carvalho Dezotti,http://www.abc.org.br/membro/marcia-walquiria-de-carvalho-dezotti/
46,Maria Aparecida Juliano,http://www.abc.org.br/membro/maria-aparecida-juliano/
47,Maria Aparecida Soares Ruas,http://www.abc.org.br/membro/maria-aparecida-soares-ruas/
48,Maria Assunção Faus da Silva Dias,http://www.abc.org.br/membro/maria-assuncao-faus-da-silva-dias/
49,Maria Domingues Vargas,http://www.abc.org.br/membro/maria-domingues-vargas/
50,Maria Fatima Grossi de Sa,http://www.abc.org.br/membro/maria-fatima-grossi-de-sa/
51,Maria Inês Schmidt,http://www.abc.org.br/membro/maria-ines-schmidt/
52,Maria José Pacifico,http://www.abc.org.br/membro/maria-jose-pacifico/
53,Maria Júlia Manso Alves,http://www.abc.org.br/membro/maria-julia-manso-alves/
54,Maria Manuela Ligeti Carneiro da Cunha,http://www.abc.org.br/membro/maria-manuela-ligeti-carneiro-da-cunha/
55,Maria Paula Cruz Schneider,http://www.abc.org.br/membro/maria-paula-cruz-schneider/
56,Maria Rita dos Santos e Passos Bueno,http://www.abc.org.br/membro/maria-rita-dos-santos-e-passos-bueno/
57,Maria Teresa Fernandez Piedade,http://www.abc.org.br/membro/maria-teresa-fernandez-piedade/
58,Mariangela Hungria da Cunha,http://www.abc.org.br/membro/mariangela-hungria-da-cunha/
59,Marie-Anne Van Sluys,http://www.abc.org.br/membro/marie-anne-van-sluys/
60,Marilda Antonia de Oliveira Sotomayor,http://www.abc.org.br/membro/marilda-antonia-de-oliveira-sotomayor/
61,Marilia Oliveira Fonseca Goulart,http://www.abc.org.br/membro/marilia-oliveira-fonseca-goulart/
62,Marlene Benchimol,http://www.abc.org.br/membro/marlene-benchimol/
63,Marta Silvia Maria Mantovani,http://www.abc.org.br/membro/marta-silvia-maria-mantovani/
64,Marta Vannucci,http://www.abc.org.br/membro/marta-vannucci/
65,Mayana Zatz,http://www.abc.org.br/membro/mayana-zatz/
66,Maysa Furlan,http://www.abc.org.br/membro/maysa-furlan/
67,Mercedes Maria da Cunha Bustamante,http://www.abc.org.br/membro/mercedes-maria-da-cunha-bustamante/
68,Miriani Griselda Pastoriza,http://www.abc.org.br/membro/miriani-griselda-pastoriza/
69,Monica da Costa Pereira Lavalle Heilbron,http://www.abc.org.br/membro/monica-da-costa-pereira-lavalle-heilbron/
70,Nadya Araujo Guimarães,http://www.abc.org.br/membro/nadya-araujo-guimaraes/
71,Nanuza Luiza de Menezes,http://www.abc.org.br/membro/nanuza-luiza-de-menezes/
72,Ohara Augusto,http://www.abc.org.br/membro/ohara-augusto/
73,Patricia Rieken Macêdo Rocco,http://www.abc.org.br/membro/patricia-rieken-macedo-rocco/
74,Patricia Torres Bozza,http://www.abc.org.br/membro/patricia-torres-bozza/
75,Poli Mara Spritzer,http://www.abc.org.br/membro/poli-mara-spritzer/
76,Regina Pekelmann Markus,http://www.abc.org.br/membro/regina-pekelmann-markus/
77,Rita de Cassia Aleixo Tostes Passaglia,http://www.abc.org.br/membro/rita-de-cassia-aleixo-tostes-passaglia/
78,Rosalia Mendez-Otero,http://www.abc.org.br/membro/rosalia-mendez-otero/
79,Ruth Sonntag Nussenzweig,http://www.abc.org.br/membro/ruth-sonntag-nussenzweig-2/
80,Santuza Maria Ribeiro Teixeira,http://www.abc.org.br/membro/santuza-maria-ribeiro-teixeira/
81,Sara Teresinha Olalla Saad,http://www.abc.org.br/membro/sara-teresinha-olalla-saad/
82,Shirley Schreier,http://www.abc.org.br/membro/shirley-schreier/
83,Silvia Stanisçuaski Guterres,http://www.abc.org.br/membro/silvia-staniscuaski-guterres/
84,Siu Mui Tsai,http://www.abc.org.br/membro/siu-mui-tsai/
85,Susana Inés Cordoba de Torresi,http://www.abc.org.br/membro/susana-ines-cordoba-de-torresi/
86,Thaisa Storchi Bergmann,http://www.abc.org.br/membro/thaisa-storchi-bergmann/
87,Valderez Pinto Ferreira,http://www.abc.org.br/membro/valderez-pinto-ferreira/
88,Vanderlan da Silva Bolzani,http://www.abc.org.br/membro/vanderlan-da-silva-bolzani/
89,Vera Lúcia da Silva Valente Gaiesky,http://www.abc.org.br/membro/vera-lucia-da-silva-valente-gaiesky/
90,Virgínia Sampaio Teixeira Ciminelli,http://www.abc.org.br/membro/virginia-sampaio-teixeira-ciminelli/
91,Vivian Mary Barral Dodd Rumjanek,http://www.abc.org.br/membro/vivian-mary-barral-dodd-rumjanek/
92,Yoshiko Wakabayashi,http://www.abc.org.br/membro/yoshiko-wakabayashi/
93,Yvonne Maggie de Leers Costa Ribeiro,http://www.abc.org.br/membro/yvonne-maggie-de-leers-costa-ribeiro/
94,Yvonne Primerano Mascarenhas,http://www.abc.org.br/membro/yvonne-primerano-mascarenhas/
